IP,Time,URL,Staus
10.126.2.1,[14/Nov/2017:06:27:39],GET /robots.txt HTTP/1.1,404
10.111.2.1,[10/Nov/2017:07:49:52],GET /login.php HTTP/1.1,200
10.120.2.1,[13/Dec/2017:14:21:27],GET /login.php HTTP/1.1,200
10.121.2.1,[23/Nov/2017:19:01:16],GET /css/font-awesome.min.css HTTP/1.1,200
10.130.0.1,[19/Nov/2017:07:31:41],GET /img/ruet.png HTTP/1.1,304
10.128.2.1,[30/Nov/2017:17:54:09],GET /details.php?id=45 HTTP/1.1,200
10.130.0.1,[16/Dec/2017:00:48:42],GET /css/main.css HTTP/1.1,200
10.123.0.1,[29/Jan/2018:20:51:23],GET /login.php HTTP/1.1,200
10.129.2.1,[16/Feb/2018:11:40:29],GET /img/ruet.png HTTP/1.1,200
10.111.2.1,[19/Dec/2017:11:26:33],GET /sign.php HTTP/1.1,200
10.126.0.1,[18/Dec/2017:19:04:06],GET /submit.php?id=55 HTTP/1.1,200
10.127.2.1,[29/Jan/2018:20:38:28],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.129.2.1,[30/Nov/2017:20:52:38],GET /home.php HTTP/1.1,200
10.127.2.1,[29/Jan/2018:20:47:43],GET /login.php HTTP/1.1,200
10.120.0.1,[17/Nov/2017:13:27:58],GET /css/font-awesome.min.css HTTP/1.1,200
10.123.2.1,[28/Feb/2018:20:46:27],GET /css/bootstrap.min.css HTTP/1.1,200
10.124.2.1,[29/Jan/2018:20:24:29],GET /home.php HTTP/1.1,302
10.131.2.1,[30/Nov/2017:16:34:52],GET /img/ruet.png HTTP/1.1,200
10.127.0.1,[29/Nov/2017:17:56:21],GET /sign.php HTTP/1.1,200
10.111.2.1,[29/Jan/2018:20:54:25],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.127.2.1,[29/Jan/2018:20:44:29],GET /login.php HTTP/1.1,200
10.130.2.1,[29/Jan/2018:20:44:35],GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
